shape,record_url,shape_count,snapshot_date
Unspecified,ndxs.html,6370,2023-03-10
Changing,ndxsChanging.html,3765,2023-03-10
Chevron,ndxsChevron.html,1686,2023-03-10
Cigar,ndxsCigar.html,3632,2023-03-10
Circle,ndxsCircle.html,13859,2023-03-10
Cone,ndxsCone.html,593,2023-03-10
Cross,ndxsCross.html,482,2023-03-10
Cube,ndxsCube.html,1,2023-03-10
Cylinder,ndxsCylinder.html,2379,2023-03-10
Delta,ndxsDelta.html,1,2023-03-10
Diamond,ndxsDiamond.html,2063,2023-03-10
Disk,ndxsDisk.html,8481,2023-03-10
Egg,ndxsEgg.html,1243,2023-03-10
Fireball,ndxsFireball.html,9772,2023-03-10
Flash,ndxsFlash.html,2383,2023-03-10
Formation,ndxsFormation.html,4735,2023-03-10
Light,ndxsLight.html,26938,2023-03-10
Orb,ndxsOrb.html,5315,2023-03-10
Other,ndxsOther.html,9842,2023-03-10
Oval,ndxsOval.html,6212,2023-03-10
Rectangle,ndxsRectangle.html,2499,2023-03-10
Sphere,ndxsSphere.html,7469,2023-03-10
Star,ndxsStar.html,114,2023-03-10
Teardrop,ndxsTeardrop.html,1216,2023-03-10
Triangle,ndxsTriangle.html,12800,2023-03-10
Unknown,ndxsUnknown.html,9758,2023-03-10
